"capsid","strain","density","tree_sp","numeric_dose","total_n","total_virus","dose_response","SOK","day","value","numeric_day"
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_12",0,12
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_13",1,13
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_14",0,14
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_15",0,15
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_16",0,16
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_17",0,17
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_18",1,18
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_19",0,19
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_20",1,20
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_21",0,21
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_22",0,22
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_23",0,23
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_24",0,24
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_25",0,25
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_26",1,26
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_27",0,27
"SNPV","LOV","HI","GR",3,31,4,0.129032258,19.25,"day_28",0,28
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_6",1,6
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_7",1,7
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_8",0,8
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_9",0,9
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_10",2,10
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_11",0,11
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_12",0,12
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_13",1,13
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_14",2,14
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_15",0,15
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_16",0,16
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_17",0,17
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_18",0,18
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_19",0,19
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_20",0,20
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_21",0,21
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_22",0,22
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_23",0,23
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_24",0,24
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_25",0,25
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_26",0,26
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_27",0,27
"SNPV","LOV","HI","DO",3,30,7,0.233333333,10.57142857,"day_28",0,28
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_6",0,6
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_7",0,7
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_8",0,8
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_9",0,9
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_10",0,10
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_11",0,11
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_12",0,12
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_13",0,13
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_14",0,14
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_15",0,15
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_16",0,16
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_17",0,17
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_18",0,18
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_19",0,19
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_20",0,20
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_21",0,21
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_22",0,22
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_23",0,23
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_24",0,24
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_25",0,25
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_26",0,26
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_27",0,27
"SNPV","LOV","ME","GR",2,8,0,0,0,"day_28",0,28
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_6",0,6
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_7",0,7
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_8",0,8
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_9",0,9
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_10",2,10
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_11",1,11
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_12",2,12
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_13",2,13
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_14",0,14
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_15",1,15
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_16",0,16
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_17",0,17
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_18",0,18
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_19",0,19
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_20",0,20
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_21",1,21
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_22",0,22
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_23",1,23
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_24",0,24
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_25",0,25
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_26",0,26
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_27",0,27
"SNPV","LOV","ME","DO",2,46,10,0.217391304,14,"day_28",0,28
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_6",1,6
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_7",0,7
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_8",0,8
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_9",0,9
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_10",0,10
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_11",2,11
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_12",1,12
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_13",1,13
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_14",1,14
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_15",1,15
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_16",1,16
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_17",1,17
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_18",0,18
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_19",0,19
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_20",0,20
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_21",0,21
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_22",0,22
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_23",0,23
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_24",0,24
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_25",0,25
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_26",0,26
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_27",0,27
"SNPV","LOV","LO","GR",1,36,9,0.25,12.77777778,"day_28",0,28
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_6",0,6
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_7",0,7
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_8",0,8
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_9",0,9
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_10",1,10
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_11",0,11
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_12",1,12
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_13",1,13
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_14",0,14
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_15",0,15
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_16",0,16
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_17",0,17
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_18",0,18
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_19",0,19
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_20",0,20
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_21",1,21
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_22",0,22
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_23",0,23
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_24",0,24
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_25",0,25
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_26",0,26
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_27",0,27
"SNPV","LOV","LO","DO",1,36,4,0.111111111,14,"day_28",0,28
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_6",0,6
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_7",0,7
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_8",0,8
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_9",1,9
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_10",0,10
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_11",1,11
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_12",0,12
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_13",0,13
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_14",0,14
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_15",0,15
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_16",0,16
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_17",1,17
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_18",0,18
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_19",0,19
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_20",0,20
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_21",0,21
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_22",0,22
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_23",0,23
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_24",0,24
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_25",0,25
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_26",0,26
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_27",0,27
"SNPV","LST","HI","GR",3,26,3,0.115384615,12.33333333,"day_28",0,28
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_6",0,6
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_7",0,7
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_8",0,8
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_9",0,9
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_10",0,10
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_11",0,11
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_12",0,12
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_13",0,13
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_14",0,14
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_15",0,15
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_16",1,16
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_17",0,17
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_18",0,18
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_19",0,19
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_20",0,20
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_21",0,21
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_22",0,22
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_23",0,23
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_24",0,24
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_25",0,25
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_26",0,26
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_27",0,27
"SNPV","LST","HI","DO",3,20,1,0.05,16,"day_28",0,28
"SNPV","LST","ME","GR",2,19,0,0,0,"day_6",0,6
"SNPV","LST","ME","GR",2,19,0,0,0,"day_7",0,7
"SNPV","LST","ME","GR",2,19,0,0,0,"day_8",0,8
"SNPV","LST","ME","GR",2,19,0,0,0,"day_9",0,9
"SNPV","LST","ME","GR",2,19,0,0,0,"day_10",0,10
"SNPV","LST","ME","GR",2,19,0,0,0,"day_11",0,11
"SNPV","LST","ME","GR",2,19,0,0,0,"day_12",0,12
"SNPV","LST","ME","GR",2,19,0,0,0,"day_13",0,13
"SNPV","LST","ME","GR",2,19,0,0,0,"day_14",0,14
"SNPV","LST","ME","GR",2,19,0,0,0,"day_15",0,15
"SNPV","LST","ME","GR",2,19,0,0,0,"day_16",0,16
"SNPV","LST","ME","GR",2,19,0,0,0,"day_17",0,17
"SNPV","LST","ME","GR",2,19,0,0,0,"day_18",0,18
"SNPV","LST","ME","GR",2,19,0,0,0,"day_19",0,19
"SNPV","LST","ME","GR",2,19,0,0,0,"day_20",0,20
"SNPV","LST","ME","GR",2,19,0,0,0,"day_21",0,21
"SNPV","LST","ME","GR",2,19,0,0,0,"day_22",0,22
"SNPV","LST","ME","GR",2,19,0,0,0,"day_23",0,23
"SNPV","LST","ME","GR",2,19,0,0,0,"day_24",0,24
"SNPV","LST","ME","GR",2,19,0,0,0,"day_25",0,25
"SNPV","LST","ME","GR",2,19,0,0,0,"day_26",0,26
"SNPV","LST","ME","GR",2,19,0,0,0,"day_27",0,27
"SNPV","LST","ME","GR",2,19,0,0,0,"day_28",0,28
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_6",0,6
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_7",0,7
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_8",0,8
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_9",0,9
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_10",0,10
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_11",0,11
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_12",0,12
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_13",1,13
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_14",0,14
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_15",1,15
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_16",2,16
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_17",0,17
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_18",0,18
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_19",1,19
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_20",0,20
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_21",0,21
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_22",0,22
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_23",0,23
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_24",0,24
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_25",0,25
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_26",0,26
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_27",0,27
"SNPV","LST","ME","DO",2,26,5,0.192307692,15.8,"day_28",0,28
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_6",1,6
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_7",0,7
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_8",0,8
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_9",0,9
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_10",0,10
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_11",1,11
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_12",0,12
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_13",2,13
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_14",0,14
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_15",0,15
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_16",0,16
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_17",0,17
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_18",0,18
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_19",1,19
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_20",0,20
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_21",0,21
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_22",0,22
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_23",0,23
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_24",0,24
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_25",0,25
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_26",0,26
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_27",0,27
"SNPV","LST","LO","GR",1,38,5,0.131578947,12.4,"day_28",0,28
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_6",0,6
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_7",0,7
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_8",0,8
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_9",0,9
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_10",0,10
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_11",1,11
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_12",0,12
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_13",1,13
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_14",0,14
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_15",3,15
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_16",1,16
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_17",0,17
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_18",0,18
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_19",0,19
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_20",0,20
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_21",1,21
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_22",0,22
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_23",0,23
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_24",0,24
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_25",0,25
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_26",0,26
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_27",0,27
"SNPV","LST","LO","DO",1,36,7,0.194444444,15.14285714,"day_28",0,28
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_6",0,6
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_7",0,7
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_8",0,8
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_9",0,9
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_10",3,10
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_11",4,11
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_12",3,12
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_13",3,13
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_14",3,14
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_15",3,15
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_16",5,16
"MNPV","DRY","HI","GR",3,37,25,0.675675676,13.56,"day_17",0,17
